kPa	x1	y1
26.880	0.00000	0
26.486	0.01200	0
25.801	0.05250	0
25.030	0.08840	0
23.927	0.13630	0
21.297	0.26620	0
20.824	0.30120	0
20.338	0.33600	0
19.952	0.36950	0
19.692	0.40130	0
19.534	0.42340	0
19.560	0.43970	0
19.504	0.46030	0
19.532	0.47490	0
19.653	0.50990	0
20.174	0.55870	0
20.780	0.59870	0
22.010	0.65710	0
23.694	0.71880	0
25.933	0.79010	0
28.439	0.86820	0
31.609	0.97800	0
32.379	1.00000	0
